episode,train_return,loss,eval_mean_return,eval_std_return
1,-879.1929689922865,-16.3553466796875,,
2,-1167.1354786407342,-1.315840721130371,,
3,-1604.1148268346099,3.6952803134918213,,
4,-1656.5874353017214,8.933698654174805,,
5,-1141.8525183672164,18.441776275634766,,
6,-999.1336116254105,-18.873716354370117,,
7,-1072.720731703019,1.0576744079589844,,
8,-909.2692797554873,9.111001968383789,,
9,-1453.9435800518238,7.728690147399902,,
10,-1731.9617810037041,4.316372394561768,-1484.328777709033,268.91985569105367
11,-1688.4690541803775,-18.785192489624023,,
12,-1224.052410203776,15.748931884765625,,
13,-1732.488038785997,-3.7728958129882812,,
14,-1592.4686681163782,-14.06016731262207,,
15,-1018.7626842623977,-6.937328338623047,,
16,-956.0142752196465,17.601882934570312,,
17,-1525.1156600158365,17.791725158691406,,
18,-986.2498515345059,4.465838432312012,,
19,-959.8520202481084,2.6913461685180664,,
20,-1237.2803072237941,-5.686886787414551,-1163.7494499754216,254.73725394540298
21,-1291.1491968807654,-6.905285835266113,,
22,-964.5739102900284,-19.09511947631836,,
23,-874.7606573836524,-8.172697067260742,,
24,-1006.7363454486209,6.808643341064453,,
25,-1451.8825736890435,16.352027893066406,,
26,-979.1137111322997,-6.887689590454102,,
27,-1186.1156619826509,-2.274076223373413,,
28,-1407.0288461318535,9.822519302368164,,
29,-1645.5294345101872,-5.841029167175293,,
30,-1068.3624110958206,9.704565048217773,-1230.215972906485,321.75528489261166
31,-1709.3592460382565,7.842594146728516,,
32,-1527.8900978011695,8.00888442993164,,
33,-986.5740844109283,10.51354694366455,,
34,-1748.9144586191608,16.70936393737793,,
35,-1170.5068577516984,2.9309096336364746,,
36,-1470.6223254066663,-0.33271336555480957,,
37,-1071.9494491132662,20.140775680541992,,
38,-928.8481156592534,-5.178163051605225,,
39,-988.5808579551152,-3.2950000762939453,,
40,-1068.8071166412103,-17.866201400756836,-1330.55432860501,296.6638939063988
41,-1692.5259908597975,2.1542136669158936,,
42,-1176.6468118041132,4.916471004486084,,
43,-868.8312456467686,5.78660774230957,,
44,-1606.1456013233922,-2.886995792388916,,
45,-1014.3973840541789,28.090200424194336,,
46,-1729.4360218430024,-0.09431123733520508,,
47,-1184.6498863165045,3.0254745483398438,,
48,-877.9389881097344,-11.396284103393555,,
49,-1070.3824402608789,-13.979484558105469,,
50,-1258.7849680225136,12.872159004211426,-1304.0911814440956,351.7621624223257
51,-1833.778462170473,12.529901504516602,,
52,-1067.1627034744108,-14.464248657226562,,
53,-1826.6605453438988,3.81168270111084,,
54,-1277.2207081606648,-5.445494651794434,,
55,-1444.6373465339868,-13.68909740447998,,
56,-996.9767476149011,-13.596200942993164,,
57,-1003.5762442968378,-1.728525161743164,,
58,-1030.9237958258034,-15.067562103271484,,
59,-890.7015504024581,3.0980474948883057,,
